Total Number of Records          76555.
             DATA SET: /home/las/datasets/pCO2/pCO2-Corrected_INCOIS-BIO-ROMS.nc
             X: 0.5 to 76555.5
 Column  1: DATETIME is Time String
 Column  2: TIME is Time Coordinates (days since 24-JAN-1980 00:00:00)   BAD FLAG : -1.E+34
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34
 Column  5: PCO2_ORIGINAL is Surface partial pressure of CO2 (pCO2 from IBR model) (micro atm)   BAD FLAG : -1.E+34
DATETIME,TIME,LON,LAT,PCO2_ORIGINAL
"28-FEB-2019",14280,81.5,5.26743,410.875  
"28-FEB-2019",14280,81.5833,5.26743,411.365  
"28-FEB-2019",14280,81.6667,5.26743,411.182  
"28-FEB-2019",14280,81.75,5.26743,411.197  
"28-FEB-2019",14280,81.8333,5.26743,411.723  
"28-FEB-2019",14280,81.9167,5.26743,411.542  
"28-FEB-2019",14280,82,5.26743,412.03  
"28-FEB-2019",14280,82.0833,5.26743,411.956  
"28-FEB-2019",14280,82.1667,5.26743,412.566  
"28-FEB-2019",14280,82.25,5.26743,412.515  
"28-FEB-2019",14280,82.3333,5.26743,412.892  
"28-FEB-2019",14280,82.4167,5.26743,412.736  
"28-FEB-2019",14280,82.5,5.26743,412.646  
"28-FEB-2019",14280,82.5833,5.26743,412.774  
"28-FEB-2019",14280,82.6667,5.26743,412.237  
"28-FEB-2019",14280,82.75,5.26743,412.114  
"28-FEB-2019",14280,82.8333,5.26743,412.541  
"28-FEB-2019",14280,82.9167,5.26743,412.073  
"28-FEB-2019",14280,83,5.26743,412.647  
"28-FEB-2019",14280,83.0833,5.26743,412.484  
"28-FEB-2019",14280,83.1667,5.26743,412.389  
"28-FEB-2019",14280,83.25,5.26743,412.425  
"28-FEB-2019",14280,83.3333,5.26743,412.51  
"28-FEB-2019",14280,83.4167,5.26743,412.591  
"28-FEB-2019",14280,83.5,5.26743,412.586  
"28-FEB-2019",14280,83.5833,5.26743,412.106  
"28-FEB-2019",14280,83.6667,5.26743,412.38  
"28-FEB-2019",14280,83.75,5.26743,412.159  
"28-FEB-2019",14280,83.8333,5.26743,412.229  
"28-FEB-2019",14280,83.9167,5.26743,411.785  
"28-FEB-2019",14280,84,5.26743,412.284  
"28-FEB-2019",14280,84.0833,5.26743,411.636  
"28-FEB-2019",14280,84.1667,5.26743,412.263  
"28-FEB-2019",14280,84.25,5.26743,411.792  
"28-FEB-2019",14280,84.3333,5.26743,412.161  
"28-FEB-2019",14280,84.4167,5.26743,411.574  
"28-FEB-2019",14280,84.5,5.26743,411.23  
"28-FEB-2019",14280,84.5833,5.26743,411.296  
"28-FEB-2019",14280,84.6667,5.26743,411.25  
"28-FEB-2019",14280,84.75,5.26743,410.941  
"28-FEB-2019",14280,84.8333,5.26743,410.774  
"28-FEB-2019",14280,84.9167,5.26743,410.619  
"28-FEB-2019",14280,85,5.26743,410.861  
"28-FEB-2019",14280,85.0833,5.26743,410.901  
"28-FEB-2019",14280,85.1667,5.26743,410.708  
