DATETIME,TIME,LON,LAT,SSS
"""29-JAN-2019""",14250,66.5,5.35041,35.0708
"""29-JAN-2019""",14250,66.5833,5.35041,35.0723
"""29-JAN-2019""",14250,66.6667,5.35041,35.0738
"""29-JAN-2019""",14250,66.75,5.35041,35.0747
"""29-JAN-2019""",14250,66.8333,5.35041,35.0751
"""29-JAN-2019""",14250,66.9167,5.35041,35.0739
"""29-JAN-2019""",14250,67,5.35041,35.0716
"""29-JAN-2019""",14250,67.0833,5.35041,35.0676
"""29-JAN-2019""",14250,67.1667,5.35041,35.0645
"""29-JAN-2019""",14250,67.25,5.35041,35.0627
"""29-JAN-2019""",14250,67.3333,5.35041,35.0608
"""29-JAN-2019""",14250,67.4167,5.35041,35.0622
"""29-JAN-2019""",14250,67.5,5.35041,35.0632
"""29-JAN-2019""",14250,67.5833,5.35041,35.0631
"""29-JAN-2019""",14250,67.6667,5.35041,35.0626
"""29-JAN-2019""",14250,67.75,5.35041,35.0618
"""29-JAN-2019""",14250,67.8333,5.35041,35.0593
"""29-JAN-2019""",14250,67.9167,5.35041,35.0561
"""29-JAN-2019""",14250,68,5.35041,35.0509
"""29-JAN-2019""",14250,68.0833,5.35041,35.0461
"""29-JAN-2019""",14250,68.1667,5.35041,35.0409
"""29-JAN-2019""",14250,68.25,5.35041,35.0357
"""29-JAN-2019""",14250,68.3333,5.35041,35.0318
"""29-JAN-2019""",14250,68.4167,5.35041,35.0302
"""29-JAN-2019""",14250,68.5,5.35041,35.0308
"""29-JAN-2019""",14250,68.5833,5.35041,35.0304
"""29-JAN-2019""",14250,68.6667,5.35041,35.0307
"""29-JAN-2019""",14250,68.75,5.35041,35.0284
"""29-JAN-2019""",14250,68.8333,5.35041,35.0284
"""29-JAN-2019""",14250,68.9167,5.35041,35.0285
"""29-JAN-2019""",14250,69,5.35041,35.0283
"""29-JAN-2019""",14250,69.0833,5.35041,35.0285
"""29-JAN-2019""",14250,69.1667,5.35041,35.0268
"""29-JAN-2019""",14250,69.25,5.35041,35.0252
"""29-JAN-2019""",14250,69.3333,5.35041,35.0235
"""29-JAN-2019""",14250,69.4167,5.35041,35.0257
"""29-JAN-2019""",14250,69.5,5.35041,35.0268
"""29-JAN-2019""",14250,69.5833,5.35041,35.0284
"""29-JAN-2019""",14250,69.6667,5.35041,35.0306
"""29-JAN-2019""",14250,69.75,5.35041,35.0315
"""29-JAN-2019""",14250,69.8333,5.35041,35.0317
"""29-JAN-2019""",14250,69.9167,5.35041,35.0306
"""29-JAN-2019""",14250,70,5.35041,35.0283
"""29-JAN-2019""",14250,70.0833,5.35041,35.0268
"""29-JAN-2019""",14250,70.1667,5.35041,35.0249
"""29-JAN-2019""",14250,70.25,5.35041,35.0255
"""29-JAN-2019""",14250,70.3333,5.35041,35.0275
"""29-JAN-2019""",14250,70.4167,5.35041,35.0319
"""29-JAN-2019""",14250,70.5,5.35041,35.037
"""29-JAN-2019""",14250,70.5833,5.35041,35.0433
"""29-JAN-2019""",14250,70.6667,5.35041,35.0487
"""29-JAN-2019""",14250,70.75,5.35041,35.0539
"""29-JAN-2019""",14250,70.8333,5.35041,35.0592
"""29-JAN-2019""",14250,70.9167,5.35041,35.0643
"""29-JAN-2019""",14250,71,5.35041,35.0685
"""29-JAN-2019""",14250,71.0833,5.35041,35.0725
"""29-JAN-2019""",14250,71.1667,5.35041,35.0776
"""29-JAN-2019""",14250,71.25,5.35041,35.0821
"""29-JAN-2019""",14250,71.3333,5.35041,35.0878
"""29-JAN-2019""",14250,71.4167,5.35041,35.0916
"""29-JAN-2019""",14250,71.5,5.35041,35.0939
"""29-JAN-2019""",14250,71.5833,5.35041,35.0952
"""29-JAN-2019""",14250,71.6667,5.35041,35.0954
"""29-JAN-2019""",14250,71.75,5.35041,35.0977
"""29-JAN-2019""",14250,71.8333,5.35041,35.1028
"""29-JAN-2019""",14250,71.9167,5.35041,35.1088
"""29-JAN-2019""",14250,72,5.35041,35.1135
"""29-JAN-2019""",14250,72.0833,5.35041,35.1141
"""29-JAN-2019""",14250,72.1667,5.35041,35.1135
"""29-JAN-2019""",14250,72.25,5.35041,35.1132
"""29-JAN-2019""",14250,72.3333,5.35041,35.1103
"""29-JAN-2019""",14250,72.4167,5.35041,35.1091
"""29-JAN-2019""",14250,72.5,5.35041,35.1178
"""29-JAN-2019""",14250,72.5833,5.35041,35.1297
"""29-JAN-2019""",14250,72.6667,5.35041,35.1387
"""29-JAN-2019""",14250,72.75,5.35041,35.1446
"""29-JAN-2019""",14250,72.8333,5.35041,35.1336
"""29-JAN-2019""",14250,72.9167,5.35041,35.0923
"""29-JAN-2019""",14250,73,5.35041,35.102
"""29-JAN-2019""",14250,73.0833,5.35041,35.1133
"""29-JAN-2019""",14250,73.1667,5.35041,35.1127
"""29-JAN-2019""",14250,73.25,5.35041,35.116
"""29-JAN-2019""",14250,73.3333,5.35041,35.1107
"""29-JAN-2019""",14250,73.4167,5.35041,35.1156
"""29-JAN-2019""",14250,73.5,5.35041,35.107
"""29-JAN-2019""",14250,73.5833,5.35041,35.1099
"""29-JAN-2019""",14250,73.6667,5.35041,35.1037
"""29-JAN-2019""",14250,73.75,5.35041,35.1039
"""29-JAN-2019""",14250,73.8333,5.35041,35.1001
"""29-JAN-2019""",14250,73.9167,5.35041,35.0987
"""29-JAN-2019""",14250,74,5.35041,35.0948
"""29-JAN-2019""",14250,74.0833,5.35041,35.0957
"""29-JAN-2019""",14250,74.1667,5.35041,35.0913
"""29-JAN-2019""",14250,74.25,5.35041,35.0933
